date,TweetId,Tweet,created_at,location
2020-12-15  21:46,1301928967679733760,@mahafuz_16 thinking outside the box,2020-09-04 17:03:49,everywhere
2020-12-15  21:46,1301928667241680899,@AsimRiazTeam__ Perfection,2020-09-04 17:02:37,everywhere
2020-12-15  21:46,1301927001012477955,@redwithgold it's ok we don't either. THANK YOU!,2020-09-04 16:56:00,everywhere
2020-12-15  21:46,1301926541593640965,@BravinYuri the message is right where it needs to be,2020-09-04 16:54:10,everywhere
2020-12-15  21:46,1301925855300595713,@ogbeni_ceejay you're the best,2020-09-04 16:51:27,everywhere
2020-12-15  21:46,1301924992939106317,@kellymonster25 love the hustle,2020-09-04 16:48:01,everywhere
2020-12-15  21:46,1301924740832034819,@kellymonster25 thanks for following directions,2020-09-04 16:47:01,everywhere
2020-12-15  21:46,1301915811720974337,"PLEASE WEAR A MASK

...also if someone can screenshot this and post it on IG that would be great",2020-09-04 16:11:32,everywhere
2020-12-15  21:46,1301640564392288258,@RealOldPaul A+,2020-09-03 21:57:48,everywhere
2020-12-15  21:46,1301181544011378689,Well that didn't work https://t.co/AS3o3Hh4Vq,2020-09-02 15:33:49,everywhere
2020-12-15  21:46,1300942135156527108,"@goodbeanaltalt replying to Tweets, you?",2020-09-01 23:42:30,everywhere
2020-12-15  21:46,1300941290738266115,@goodbeanaltalt @hotpockets happy for you and hot pockets,2020-09-01 23:39:08,everywhere
2020-12-15  21:46,1300796803978276864,@AC_Roald sorry it felt right in the moment,2020-09-01 14:05:00,everywhere
2020-12-15  21:46,1300792689751977985,"@AC_Roald oops we did it again
https://t.co/y38jQMFBk0",2020-09-01 13:48:39,everywhere
2020-12-15  21:46,1300792391432122368,@veedrasroom if level 8 was quicksand what's 9?,2020-09-01 13:47:28,everywhere
2020-12-15  21:46,1300790679174631425,@owenlang_ that's how time works,2020-09-01 13:40:40,everywhere
2020-12-15  21:46,1300790535309979655,@laucastrillon yes,2020-09-01 13:40:05,everywhere
2020-12-15  21:46,1300789304390807558,@brintrevised exactly,2020-09-01 13:35:12,everywhere
2020-12-15  21:46,1300789051742707718,@Life_Sleepyhead with a positive,2020-09-01 13:34:12,everywhere
2020-12-15  21:46,1300788708275257350,@usopen Love,2020-09-01 13:32:50,everywhere
2020-12-15  21:46,1300788447284736000,@Vraxooo a very warm welcome,2020-09-01 13:31:47,everywhere
2020-12-15  21:46,1300788447200845837,@tavoncooke truly thrilling,2020-09-01 13:31:47,everywhere
2020-12-15  21:46,1300788447125307392,@domainechambord you're our new favorite chateau,2020-09-01 13:31:47,everywhere
2020-12-15  21:46,1300788227092213760,@DatDustyy october doesn't own spooky,2020-09-01 13:30:55,everywhere
2020-12-15  21:46,1300786381023842307,@roooossshhiiiii okay!,2020-09-01 13:23:35,everywhere
2020-12-15  21:46,1300785842655551488,@Vinivinci95 can we ignore that part,2020-09-01 13:21:26,everywhere
2020-12-15  21:46,1300781950991585285,Oh look another month,2020-09-01 13:05:59,everywhere
2020-12-15  21:46,1300554631618220032,"Three things—

1. ""Retweets with comments"" is changing to ""Quote Tweets""

2. Quote Tweets will appear right next to… https://t.co/UjeP0A6qFP",2020-08-31 22:02:41,everywhere
2020-12-15  21:46,1300551105424830468,@BaraStrycova hi there,2020-08-31 21:48:41,everywhere
2020-12-15  21:46,1300550998860214272,@coffeetan needed that big stretch,2020-08-31 21:48:15,everywhere
2020-12-15  21:46,1300550938646675457,@Hammyinmiami mutuals is short for mutual weirdness,2020-08-31 21:48:01,everywhere
2020-12-15  21:46,1300509506921787393,@heonbf makes sense!,2020-08-31 19:03:23,everywhere
2020-12-15  21:46,1300509506686705665,"@NLiddle16 you got a performance, mention, AND follow in one day you really won",2020-08-31 19:03:23,everywhere
2020-12-15  21:46,1300498474174218248,@denzeldion yes,2020-08-31 18:19:32,everywhere
2020-12-15  21:46,1300469605559918592,@S_S_R_717 73% of september is SUMMER,2020-08-31 16:24:50,everywhere
2020-12-15  21:46,1299808792322940928,"Most liked Tweet ever.  

A tribute fit for a King. 

#WakandaForever https://t.co/lpyzmnIVoP",2020-08-29 20:39:00,everywhere
2020-12-15  21:46,1299067794005336066,@MeCookieMonster sending you cookie https://t.co/vq3bRKV5IW,2020-08-27 19:34:32,everywhere
2020-12-15  21:46,1299061683646849024,@niquotein this Tweet is best,2020-08-27 19:10:15,everywhere
2020-12-15  21:46,1298990894192791554,@JulieDiCaro which table are you at,2020-08-27 14:28:57,everywhere
2020-12-15  21:46,1298990894180311040,@NextTo_Ecstasy you good,2020-08-27 14:28:57,everywhere
2020-12-15  21:46,1298990894062870531,@racailleux the thing is he'd probably react the same scrolling by your Tweet,2020-08-27 14:28:57,everywhere
2020-12-15  21:46,1298990763653525504,@georgebacon_ but Twitter followers breaking a mutual is kinda sad,2020-08-27 14:28:26,everywhere
2020-12-15  21:46,1298697815842009089,"@sidharthsbae correct, we love this",2020-08-26 19:04:22,everywhere
2020-12-15  21:46,1298696951874060289,@TheGodJihyoStan applying for low maintenance mutuals,2020-08-26 19:00:56,everywhere
2020-12-15  21:46,1298696879392395264,@ElliottBlackwe3 been sitting here debating between 2 and 4 for a few minutes,2020-08-26 19:00:39,everywhere
2020-12-15  21:46,1293265466836705280,@OscarTheGrouch love?,2020-08-11 19:18:09,everywhere
2020-12-15  21:46,1293264711618686976,@OscarTheGrouch edit button?,2020-08-11 19:15:09,everywhere
2020-12-15  21:46,1293263551667138561,@OscarTheGrouch pineapple on pizza?,2020-08-11 19:10:33,everywhere
2020-12-15  21:46,1293261106408910849,"hey @OscarTheGrouch, what do you think of 2020?",2020-08-11 19:00:50,everywhere
2020-12-15  21:46,1293239745695211520,"We tested, you Tweeted, and now we’re rolling it out to everyone! https://t.co/w6Q3Q6DiKz",2020-08-11 17:35:57,everywhere
2020-12-15  21:46,1288832480351358979,@busralcinar @NASA and we love you to Mars and back https://t.co/z421PPY8yk,2020-07-30 13:43:03,everywhere
2020-12-15  21:46,1288831841219358720,@octaviaspencer Need more adrenaline? https://t.co/h4XHILTeh5,2020-07-30 13:40:30,everywhere
2020-12-15  21:46,1288831481847017473,@astrotoya @solarrsystem uh of course https://t.co/uHUIlg18kB,2020-07-30 13:39:05,everywhere
2020-12-15  21:46,1288830635264454658,@NASAPersevere @NASA Send pics and check in often... we can make this work!,2020-07-30 13:35:43,everywhere
2020-12-15  21:46,1288824380319870977,@RocketJoy you've got the right stuff https://t.co/2yzNZnDPIc,2020-07-30 13:10:52,everywhere
2020-12-15  21:46,1288821749451067392,@Kaz82ba Go you! https://t.co/vbs1L5sgEA,2020-07-30 13:00:24,everywhere
2020-12-15  21:46,1288821154543624192,@solarrsystem this will keep you awake https://t.co/v4YPvjKN9K,2020-07-30 12:58:03,everywhere
2020-12-15  21:46,1288818663491919873,@Arshita_Singh31 let's blast https://t.co/xsSWee7BSV,2020-07-30 12:48:09,everywhere
2020-12-15  21:46,1288817664270295043,@AsherPlangnan You're up https://t.co/9SdkfgYLvB,2020-07-30 12:44:10,everywhere
